-1,0694
0,6297
4,7265
6,0692
8,6952
0,1127
3,8016
4,2324
6,225
5,077
-1,4175
2,8074
3,0404
4,8536
5,3239
3,4231
2,9689
4,3717
2,2022
-0,8861
4,6596
7,2421
7,0566
2,5411
6,0179
1,7337
2,1881
6,4284
2,8019
9,7215
9,2248
5,5344
2,4563
6,71
6,1767
0,1758
8,1266
9,1794
8,2945
6,972
7,7235
3,6444
5,7252
5,7757
-0,6056
11,305
2,6619
4,3618
7,4045
6,6966
3,1644
8,0899
8,5178
2,5381
3,981
-0,0452
7,1809
6,056
2,0547
7,5964
7,9276
8,655
4,1191
3,524
6,6227
3,4104
9,1838
4,4039
5,7863
12,547
10,618
5,2558
7,4867
7,3232
3,2065
-2,847
1,0262
5,6776
4,1222
1,5582
4,248
4,9483
-3,1033
6,3598
3,873
3,2667
4,1946
-1,0934
12,2193
5,7666
8,0444
7,4618
5,1151
6,1922
2,4686
1,4385
0,9843
4,749
4,6021
4,2718
6,7895
6,6417
4,0759
6,6725
2,5006
0,8981
3,4521
6,2751
0,8204
3,373
7,7934
9,5758
7,0863
5,1943
6,4591
3,3625
5,5939
5,4026
6,3828
2,4744
-0,1587
3,9491
5,7102
12,9971
-0,3938
3,9021
3,1689
5,9297
1,8613
1,4617
6,3637
9,1286
-0,1856
6,9179
0,3358
4,7852
8,7452
6,5783
2,2372
0,3011
8,6468
3,7299
5,4995
5,7945
7,2858
7,923
8,5514
6,9199
5,0543
7,8073
3,5206
8,8784
8,8869
5,0626
-0,4918
-1,6488
4,3373
3,9407
7,0573
6,6221
9,2933
4,2649
3,34
1,4609
6,0141
-1,5036
2,7914
3,0519
11,1596
3,7267
6,1631
9,0564
6,1595
2,5533
8,7024
1,7206
6,016
6,5128
4,2396
3,4515
3,7759
1,9006
6,0424
6,5426
7,57
8,4131
-0,3044
6,54
9,0032
3,2992
0,1647
5,0092
6,6976
6,7104
2,754
4,4531
7,7854
6,7085
3,9155
7,1721
7,7287
9,9349
6,7421
2,4725
7,1137
6,1485
3,6801
7,4286
6,9732
5,9347
3,4496
5,1628
5,2509
7,9047
2,9413
4,2661
2,8002
5,2995
6,8608
1,833
-0,2443
12,4529
7,8103
4,1636
0,4685
6,6145
6,3449
5,0302
2,3881
3,1543
2,0378
9,6287
-1,2865
7,0625
6,015
1,8647
8,1667
6,1778
6,2508
0,6324
7,356
4,2072
8,869
2,2996
7,3693
4,4519
11,4372
0,9979
9,1757
8,056
4,9229
6,6744
5,5361
5,7803
10,885
-2,9486
7,2455
3,1421
0,4592
3,0862
5,4909
3,8793
5,8176
10,6989
4,5258
2,5619
8,6753
2,8062
7,8014
4,6945
9,1683
6,9236
6,3285
-0,4357
7,0984
3,6625
0,0376
6,8918
9,725
0,7776
8,0674
4,0471
9,5199
12,8255
5,1199
4,8446
6,2138
2,7351
8,5674
5,3899
0,9626
8,2884
-1,1513
8,8397
9,0982
3,4964
2,2986
-1,0589
2,8789
2,2315
